STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
BUENOS AIRES,2.636,9.088,12.708,16.657,21.874,27.073,36.272,78.225,139.864,204.044,445.599,539.377,590.734,710.952,842.149
CAPITAL FEDERAL,15.583,52.312,84.636,143.416,248.417,314.995,377.271,463.218,544.922,660.614,1064.918,1293.489,1450.554,1737.569,1911.929
CATAMARCA,3.165,12.006,15.171,21.859,27.601,33.278,51.189,383.268,958.722,1028.309,1293.199,1555.528,1795.069,2266.534,3297.059
CHACO,3.446,10.792,15.295,23.278,31.875,42.701,79.932,318.145,768.234,1107.972,1734.343,2036.908,2241.523,2476.364,2777.484
CHUBUT,10.772,19.21,27.719,39.905,58.29,71.301,100.151,219.866,461.111,1010.531,2981.543,3319.169,3548.264,3784.866,4006.642
CORDOBA,12.468,37.684,52.705,67.984,88.054,106.597,160.851,737.638,1538.303,1734.387,2118.864,2394.619,2624.274,2990.183,3492.372
CORRIENTES,6.698,12.96,18.364,25.074,36.68,46.956,174.488,504.351,1151.999,1673.317,2639.923,3427.791,4058.894,4484.88,4828.386
ENTRE RIOS,12.068,42.709,57.874,75.952,95.496,114.943,139.273,216.545,511.954,779.46,1829.752,2159.312,2348.027,2680.291,3129.317
FORMOSA,3.282,10.208,17.745,26.029,32.729,63.127,105.137,133.045,171.909,211.395,1186.323,1335.168,1540.86,2005.627,2978.484
JUJUY,3.155,12.601,20.835,39.566,111.266,226.471,313.748,487.624,520.738,551.624,698.517,813.757,874.817,950.242,1005.946
LA PAMPA,4.289,14.899,23.552,33.259,44.696,54.252,67.909,141.688,354.034,987.649,3977.481,4849.928,5248.961,5812.559,6900.043
LA RIOJA,1.69,9.243,11.689,13.415,23.378,119.625,332.908,424.299,498.498,535.4,610.966,683.942,728.109,890.031,1086.733
MENDOZA,4.341,19.06,23.546,29.253,36.906,47.933,75.778,131.578,356.158,444.537,607.599,702.078,800.225,1248.798,1599.521
MISIONES,4.357,13.595,19.859,27.136,44.936,59.032,75.481,151.19,230.058,757.098,2958.599,3379.898,3786.676,4010.201,4338.34
NEUQUEN,4.963,21.289,27.558,34.48,44.145,56.618,87.594,270.729,694.989,1138.318,2924.933,3799.063,4176.75,4547.188,6069.919
RIO NEGRO,5.731,21.947,30.947,39.947,49.981,61.8,85.174,205.372,534.381,806.025,1936.55,2380.487,2651.764,2989.135,3714.505
SALTA,4.595,16.126,44.297,82.319,148.414,266.394,1004.976,1972.493,2104.544,2228.305,2658.083,2886.158,3105.059,3433.269,3738.343
SAN JUAN,5.233,21.901,35.891,43.82,50.656,56.136,81.544,346.245,2400.476,2680.356,2914.707,3047.172,3205.45,3576.583,4230.68
SAN LUIS,4.358,16.238,23.594,27.369,37.806,50.935,95.153,354.744,1174.656,1306.423,1799.111,2090.86,2315.685,3279.604,4234.78
SANTA CRUZ,7.227,26.631,34.559,41.742,59.131,79.98,172.007,362.412,1958.578,4656.064,8682.396,9938.116,10962.652,12252.975,13465.244
SANTA FE,12.685,34.957,52.447,70.85,92.419,114.341,184.879,676.815,1343.601,1753.422,2462.73,2743.843,2958.978,3443.722,4031.208
SANTIAGO DEL ESTERO,2.952,13.565,17.368,22.572,29.986,95.409,149.216,470.495,856.703,910.998,1084.606,1165.372,1236.685,1382.86,1737.297
TIERRA DEL FUEGO,4.811,20.565,32.829,43.772,57.073,72.261,106.222,231.5,500.735,634.079,1348.485,1562.911,1716.396,2022.327,2150.624
TUCUMAN,4.325,18.221,25.181,32.937,39.632,48.175,142.688,1190.497,1434.833,1503.725,1638.417,1720.84,1911.643,2318.248,2688.406
