,STATE,MONTH,IVM,CUMULATIVE_IVM,CFR,DEATHS,CASES_PER_1000,CASES,POPULATION,VAX,CUMULATIVE_VAX,IVM/CASE,DEATHS_PER_1000
0,BUENOS AIRES,2020-03-01,2.636,2.636,0.0771812080536912,23,0.0191093895845362,298,15594428,0.0,0.0,137942.65841610738,1.474885773303131e-06
1,BUENOS AIRES,2020-04-01,6.452,9.088,0.1105293775450843,190,0.1102316801873079,1719,15594428,0.0,0.0,58531.267862710876,1.2183838996851953e-05
2,BUENOS AIRES,2020-05-01,3.62,12.708,0.0726832222895215,360,0.317613445007409,4953,15594428,0.0,0.0,11397.50239450838,2.3085168625614225e-05
3,BUENOS AIRES,2020-06-01,3.949,16.657,0.0548539403477793,1429,1.6705325774052118,26051,15594428,0.0,0.0,2363.916785228974,9.163529435000758e-05
4,BUENOS AIRES,2020-07-01,5.217,21.874,0.0485499986461238,3586,4.736435347291994,73862,15594428,0.0,0.0,1101.4612503858546,0.0002299539296984795
5,BUENOS AIRES,2020-08-01,5.199,27.073,0.0403420250051894,5053,8.031971419535234,125254,15594428,0.0,0.0,647.2881598352147,0.00032402599184785746
6,BUENOS AIRES,2020-09-01,9.199,36.272,0.038056443264167,5073,8.54805318925452,133302,15594428,0.0,0.0,1076.1514693853055,0.0003253085012159471
7,BUENOS AIRES,2020-10-01,41.953,78.225,0.0329415748157784,3697,7.19673719356683,112229,15594428,0.0,0.0,5829.447271952883,0.0002370718566913772
8,BUENOS AIRES,2020-11-01,61.639,139.864,0.0314347812190366,1967,4.012587059942179,62574,15594428,0.0,0.0,15361.411248953242,0.00012613479635161995
9,BUENOS AIRES,2020-12-01,64.18,204.044,0.0286759400640971,1709,3.821685540502031,59597,15594428,0.34711116,0.34711116,16793.637079718777,0.00010959042550326309
10,BUENOS AIRES,2021-01-01,241.555,445.599,0.0233137122454887,2416,6.645322290756672,103630,15594428,8.889585434,9.23669659,36349.62902190485,0.00015492713166523326
11,BUENOS AIRES,2021-02-01,93.778,539.377,0.0257578664620107,1611,4.010663295890044,62544,15594428,22.73978885,31.9764854,23382.167257994377,0.00010330612959962367
12,BUENOS AIRES,2021-03-01,51.357,590.734,0.0267411487832001,2068,4.959078973592362,77334,15594428,62.42999102,94.4064765,10356.15691411281,0.00013261146866047282
