STATE,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021
MISIONES,0,0,0,0,0,0,0,0,0,1.416431885,5.761370851,21.2610525,43.97497242,83.76350051,133.1919634
BUENOS AIRES,0,0,0,0,0,0,0,0,0,0.34711116,8.889585434,22.73978885,62.42999102,100.4101593,104.1623329
CAPITAL FEDERAL,0,0,0,0,0,0,0,0,0,0.43201819,8.43870911,32.3515556,79.752494,148.185351,138.032404
SANTA FE,0,0,0,0,0,0,0,0,0,0.687341911,8.369012627,19.28931346,62.52561911,102.1758745,98.31363786
CORDOBA,0,0,0,0,0,0,0,0,0,1.881491456,8.520572194,22.62298306,63.44269364,97.01996324,113.5536677
MENDOZA,0,0,0,0,0,0,0,0,0,0.369198615,7.432777717,9.799553287,66.4655118,116.9699301,105.0901178
CHUBUT,0,0,0,0,0,0,0,0,0,0.898023953,7.653927227,16.52364073,76.45440407,111.0273394,115.5075908
TUCUMAN,0,0,0,0,0,0,0,0,0,2.478248861,8.202596326,18.03618285,53.89448971,111.2774479,102.2973346
SANTIAGO DEL ESTERO,0,0,0,0,0,0,0,0,0,1.08203257,8.549172803,17.86692338,51.09313177,85.9501975,118.7145899
ENTRE RIOS,0,0,0,0,0,0,0,0,0,0.592089299,9.461295802,17.62678961,57.53943218,108.890237,110.5476017
LA PAMPA,0,0,0,0,0,0,0,0,0,2.473654319,10.01451379,34.48602259,70.37609642,133.9654193,156.8940493
SALTA,0,0,0,0,0,0,0,0,0,1.989784456,8.161572473,24.31437607,54.24178761,89.8258486,112.4845397
CORRIENTES,0,0,0,0,0,0,0,0,0,0.993619493,8.399960537,15.38348478,61.10709547,96.61565348,131.2222023
CATAMARCA,0,0,0,0,0,0,0,0,0,1.704638138,10.51329455,17.33728454,63.86547768,108.5313469,116.6276983
SAN LUIS,0,0,0,0,0,0,0,0,0,4.145156955,7.474721262,25.07483989,78.36872202,125.7287042,137.584919
LA RIOJA,0,0,0,0,0,0,0,0,0,3.640231794,11.51132902,25.40628663,68.8479932,118.6932532,121.9477651
FORMOSA,0,0,0,0,0,0,0,0,0,3.320736131,9.060513928,16.86888491,74.39547637,92.46914633,101.9937677
SANTA CRUZ,0,0,0,0,0,0,0,0,0,2.032848483,9.889037296,30.86333681,73.77331905,98.05374939,152.0673409
JUJUY,0,0,0,0,0,0,0,0,0,1.594621129,9.7358165,22.12536816,57.51346205,92.90155595,78.78796894
NEUQUEN,0,0,0,0,0,0,0,0,0,2.936398623,8.54390243,32.89820364,79.58439784,103.6933935,153.1869737
SAN JUAN,0,0,0,0,0,0,0,0,0,1.615162244,6.597327854,16.58370406,62.38729504,119.9540877,88.93386065
CHACO,0,0,0,0,0,0,0,0,0,1.355525475,9.446911433,16.64600471,61.49889982,93.70781781,127.7668192
RIO NEGRO,0,0,0,0,0,0,0,0,0,2.792978556,9.771477831,27.10562795,60.84240907,123.4704929,126.9565849
TIERRA DEL FUEGO,0,0,0,0,0,0,0,0,0,1.164910056,14.84269752,24.35216737,74.95047151,160.107774,132.8631429
